matchType,destinationScore,dateOverlapScore,budgetScore,interestScore,personalityScore,ageScore,destination_interest,date_budget,groupSizeScore,groupDiversityScore,compatibility,probability,label
user_group,0.7,0.7991307111322461,0.83,0.648,0.5,0.905,0.4536,0.6632784902397643,1.0,0.6,0.9107,0.987,1
user_group,1.0,0.4351835025787338,0.189,0.32,0.5,0.644,0.32,0.0822496819873807,0.8,0.6,0.7063,0.8671,1
user_group,1.0,0.9264682654608832,0.281,0.254,0.5,0.256,0.254,0.2603375825945082,1.0,0.7,0.8383,0.9695,1
user_user,1.0,0.6737313440959494,0.359,0.648,0.255,0.798,0.648,0.2418695525304458,0.0,0.0,0.7945,0.9495,1
user_group,0.0,0.0,0.445,0.254,0.5,0.731,0.0,0.0,1.0,1.0,0.0684,0.0031,0
user_user,0.7,0.1748559889692913,0.781,0.549,0.74,0.307,0.3843,0.1365625273850165,0.0,0.0,0.5956,0.6335,1
user_group,1.0,0.8284138509970409,0.767,0.723,0.5,0.798,0.723,0.6353934237147304,0.4,1.0,1.0319,0.9969,1
user_group,0.7,0.646116763381349,0.809,0.3,0.5,0.467,0.21,0.5227084615755114,0.6,0.75,0.7575,0.9234,1
user_user,0.3,0.5129688876836163,0.448,0.325,0.907,0.786,0.0975,0.2298100616822601,0.0,0.0,0.4794,0.3,0
user_user,0.0,0.7599614580195547,0.294,0.452,0.718,0.401,0.0,0.223428668657749,0.0,0.0,0.0959,0.0043,0
user_user,0.7,0.3363720532351278,0.318,0.507,0.474,0.614,0.3549,0.1069663129287706,0.0,0.0,0.5503,0.5009,1
user_group,0.7,0.7889913374188873,0.828,0.214,0.5,0.81,0.1498,0.6532848273828387,0.4,1.0,0.8099,0.9577,1
user_user,0.7,0.0,0.666,0.8,0.585,0.318,0.5599999999999999,0.0,0.0,0.0,0.1399,0.0072,1
user_user,0.0,0.0,0.722,0.946,0.868,0.571,0.0,0.0,0.0,0.0,0.08,0.0035,0
user_user,0.7,0.6565866494568283,0.859,0.375,0.386,0.882,0.2624999999999999,0.5640079318834155,0.0,0.0,0.7293,0.8958,1
user_group,1.0,0.0,0.599,0.473,0.5,0.831,0.473,0.0,0.8,0.7,0.1751,0.011,0
user_group,0.7,0.0,0.932,0.688,0.5,0.49,0.4815999999999999,0.0,0.8,0.6,0.1625,0.0095,0
user_user,1.0,0.0,0.958,0.3,0.433,0.838,0.3,0.0,0.0,0.0,0.1591,0.0091,0
user_user,0.3,0.0,0.715,0.934,0.211,0.635,0.2802,0.0,0.0,0.0,0.1002,0.0045,0
user_user,0.7,0.8155062069294284,0.335,0.414,0.218,0.41,0.2897999999999999,0.2731945793213585,0.0,0.0,0.6376,0.741,1
user_group,1.0,0.0,0.63,0.294,0.5,0.857,0.294,0.0,0.6,0.6,0.163,0.0095,0
user_group,1.0,0.967489500117404,0.538,0.373,0.5,0.703,0.373,0.5205093510631634,0.8,0.6,0.9414,0.991,1
user_user,1.0,0.0,0.505,0.647,0.755,0.516,0.647,0.0,0.0,0.0,0.1636,0.0096,0
user_user,0.3,0.0,0.4,0.147,0.234,0.793,0.0440999999999999,0.0,0.0,0.0,0.0614,0.0028,0
user_user,1.0,0.428653983698814,0.923,0.283,0.24,0.748,0.283,0.3956476269540053,0.0,0.0,0.7461,0.9132,1
user_user,0.7,0.1487267208505792,0.696,0.488,0.42,0.706,0.3415999999999999,0.1035137977120031,0.0,0.0,0.5565,0.5195,1
user_user,0.3,0.0,0.533,0.561,0.231,0.509,0.1683,0.0,0.0,0.0,0.0783,0.0035,0
user_group,0.3,0.0,0.569,0.376,0.5,0.328,0.1128,0.0,0.6,0.5,0.0895,0.004,0
user_user,0.3,0.8515417431035612,0.787,0.413,0.671,0.421,0.1238999999999999,0.6701633518225028,0.0,0.0,0.6262,0.7139,1
user_user,0.7,0.0,0.786,0.692,0.856,0.711,0.4843999999999999,0.0,0.0,0.0,0.1496,0.0081,0
user_user,0.3,0.0,0.68,0.522,0.673,0.446,0.1566,0.0,0.0,0.0,0.0904,0.004,0
user_group,1.0,0.2163282151810271,0.389,0.798,0.5,0.456,0.798,0.0841516757054195,0.8,0.85,0.79,0.9468,1
user_user,0.0,0.0,0.551,0.135,0.813,0.247,0.0,0.0,0.0,0.0,0.0441,0.0023,0
user_user,0.3,0.0,0.644,0.599,0.215,0.572,0.1797,0.0,0.0,0.0,0.0843,0.0037,0
user_user,1.0,0.23273425473908,0.717,0.653,0.724,0.525,0.653,0.1668704606479203,0.0,0.0,0.7569,0.9229,0
user_group,1.0,0.2322521268761738,0.421,0.326,0.5,0.795,0.326,0.0977781454148691,0.8,0.85,0.713,0.8761,0
user_user,0.3,0.9400088507984784,0.648,0.397,0.424,0.161,0.1191,0.609125735317414,0.0,0.0,0.5875,0.6106,1
user_group,0.3,0.2139197824486543,0.294,0.784,0.5,0.397,0.2352,0.0628924160399043,1.0,0.75,0.4726,0.2832,0
user_group,1.0,0.1051384076591021,0.71,0.527,0.5,0.157,0.527,0.0746482694379625,0.8,1.0,0.7425,0.9097,1
user_group,1.0,0.5241301064521943,0.606,0.515,0.5,0.672,0.515,0.3176228445100297,0.4,0.7,0.8392,0.9698,1
user_user,0.7,0.3994836582428899,0.637,0.099,0.446,0.294,0.0693,0.2544710903007209,0.0,0.0,0.53,0.4403,0
user_user,1.0,0.253363313838703,0.775,0.247,0.288,0.806,0.247,0.1963565682249948,0.0,0.0,0.663,0.7951,1
user_user,0.7,0.0,0.867,0.572,0.453,0.431,0.4003999999999999,0.0,0.0,0.0,0.1354,0.0069,0
user_group,1.0,0.5834673637061167,0.632,0.647,0.5,0.376,0.647,0.3687513738622658,0.4,1.0,0.8913,0.9836,1
user_user,0.3,0.1156857679930137,0.321,0.823,0.268,0.559,0.2468999999999999,0.0371351315257574,0.0,0.0,0.3579,0.0907,0
user_group,1.0,0.2138398841365929,0.69,0.22,0.5,0.452,0.22,0.1475495200542491,0.8,0.7,0.7048,0.865,1
user_group,0.3,0.0,0.336,0.189,0.5,0.814,0.0567,0.0,1.0,0.6,0.0861,0.0038,0
user_group,0.0,0.0,0.446,0.379,0.5,0.362,0.0,0.0,0.8,0.75,0.062,0.0029,0
user_user,0.0,0.8601496024661217,0.623,0.422,0.374,0.46,0.0,0.5358732023363938,0.0,0.0,0.1137,0.0053,0
user_group,0.3,0.7098390643005635,0.268,0.782,0.5,0.506,0.2346,0.190236869232551,1.0,0.75,0.608,0.6673,0
user_user,0.0,0.6362409592891999,0.803,0.39,0.57,0.572,0.0,0.5109014903092275,0.0,0.0,0.1103,0.0051,0
user_user,0.7,0.6218802270428121,0.081,0.34,0.53,0.603,0.238,0.0503722983904677,0.0,0.0,0.5538,0.5114,0
user_group,0.3,0.3661931009931892,0.692,0.379,0.5,0.843,0.1137,0.2534056258872869,0.6,0.7,0.5246,0.4244,1
user_group,1.0,0.2350829322050809,0.704,0.424,0.5,0.407,0.424,0.1654983842723769,1.0,0.75,0.7687,0.9324,1
user_user,0.0,0.1610668452788602,0.606,0.648,0.216,0.841,0.0,0.0976065082389892,0.0,0.0,0.069,0.0031,0
user_group,0.7,0.4939631781558158,0.42,0.38,0.5,0.556,0.2659999999999999,0.2074645348254426,1.0,1.0,0.6881,0.8399,1
user_group,1.0,0.2772338096215728,0.951,0.369,0.5,0.862,0.369,0.2636493529501157,0.8,0.85,0.8298,0.9664,1
user_user,0.7,0.0,0.502,0.863,0.409,0.647,0.6041,0.0,0.0,0.0,0.1373,0.007,0
user_group,1.0,0.2123544362064085,0.894,0.58,0.5,0.433,0.58,0.1898448659685292,0.8,0.85,0.8241,0.9641,1
user_user,0.3,0.9526448026046588,0.468,0.669,0.445,0.703,0.2007,0.4458377676189803,0.0,0.0,0.6201,0.6987,1
user_user,1.0,0.1274986415941492,0.415,0.582,0.517,0.743,0.582,0.0529119362615719,0.0,0.0,0.6549,0.7788,1
user_user,1.0,0.0,0.346,0.503,0.915,0.239,0.503,0.0,0.0,0.0,0.1494,0.0081,0
user_user,0.3,0.9222587450452966,0.869,0.528,0.39,0.577,0.1584,0.8014428494443627,0.0,0.0,0.6693,0.8072,1
user_user,1.0,0.0,0.524,0.226,0.855,0.878,0.226,0.0,0.0,0.0,0.1477,0.0079,0
user_user,0.0,0.9849099090710542,0.578,0.762,0.793,0.665,0.0,0.5692779274430693,0.0,0.0,0.1416,0.0074,0
user_user,1.0,0.1478182219088001,0.633,0.224,0.283,0.733,0.224,0.0935689344682704,0.0,0.0,0.598,0.6401,1
user_group,0.0,0.0,0.508,0.295,0.5,0.542,0.0,0.0,0.6,0.7,0.0609,0.0028,0
user_group,0.0,0.3680852406955226,0.581,0.453,0.5,0.984,0.0,0.2138575248440986,1.0,1.0,0.11,0.0051,0
user_user,1.0,0.7613919846808925,0.911,0.21,0.333,0.462,0.21,0.6936280980442932,0.0,0.0,0.8284,0.9658,1
user_user,0.3,0.447654029002978,0.754,0.663,0.834,0.609,0.1989,0.3375311378682454,0.0,0.0,0.5536,0.5108,0
user_user,1.0,0.1955537359148519,0.819,0.808,0.611,0.555,0.808,0.1601585097142637,0.0,0.0,0.7889,0.9462,1
user_group,0.3,0.0,0.637,0.436,0.5,0.573,0.1308,0.0,1.0,0.75,0.1055,0.0048,0
user_user,0.0,0.1063665033598529,0.575,0.709,0.455,0.45,0.0,0.0611607394319154,0.0,0.0,0.0654,0.003,0
user_user,1.0,0.8151560918490012,0.637,0.781,0.747,0.754,0.781,0.5192544305078137,0.0,0.0,0.9602,0.9928,1
user_group,1.0,0.3801710971468263,0.374,0.585,0.5,0.691,0.585,0.142183990332913,1.0,0.7,0.8008,0.953,1
user_group,0.7,0.889105169246653,0.794,0.429,0.5,0.135,0.3002999999999999,0.7059495043818425,1.0,0.75,0.8586,0.9759,1
user_group,1.0,0.2168645668572218,0.865,0.605,0.5,0.823,0.605,0.1875878503314968,0.8,1.0,0.8532,0.9744,1
user_group,0.7,0.2715811646661477,0.611,0.564,0.5,0.532,0.3947999999999999,0.1659360916110162,1.0,0.75,0.6791,0.8248,1
user_group,0.0,0.9996328348713286,0.661,0.71,0.5,0.573,0.0,0.6607573038499482,0.6,0.5,0.1527,0.0084,0
user_group,0.7,0.9150758580274296,0.477,0.647,0.5,0.539,0.4528999999999999,0.4364911842790839,1.0,0.6,0.8501,0.9734,1
user_user,0.0,0.2299077591621361,0.892,0.586,0.33,0.363,0.0,0.2050777211726254,0.0,0.0,0.0806,0.0036,0
user_user,1.0,0.4619051595646291,0.393,0.564,0.054,0.467,0.564,0.1815287277088992,0.0,0.0,0.6907,0.844,1
user_group,1.0,0.3259989088641209,0.749,0.494,0.5,0.27,0.494,0.2441731827392265,0.6,0.85,0.7981,0.9515,1
user_user,1.0,0.0,0.689,0.262,0.562,0.34,0.262,0.0,0.0,0.0,0.1432,0.0075,0
user_user,1.0,0.346133629776135,0.57,0.299,0.542,0.848,0.299,0.1972961689723969,0.0,0.0,0.6894,0.8419,0
user_user,1.0,0.0,0.583,0.12,0.761,0.744,0.12,0.0,0.0,0.0,0.1405,0.0073,0
user_user,0.0,0.4226380988108258,0.845,0.41,0.172,0.69,0.0,0.3571291934951478,0.0,0.0,0.0896,0.004,0
user_group,0.0,0.6327347567669752,0.17,0.352,0.5,0.696,0.0,0.1075649086503857,0.6,0.85,0.0955,0.0043,0
user_group,0.7,0.5380781199258988,0.24,0.689,0.5,0.447,0.4822999999999999,0.1291387487822157,1.0,0.85,0.7116,0.8743,1
user_group,0.7,0.2828636515211837,0.55,0.572,0.5,0.374,0.4003999999999999,0.155575008336651,0.8,0.85,0.6605,0.7902,1
user_group,1.0,0.0,0.426,0.312,0.5,0.593,0.312,0.0,0.6,0.85,0.1562,0.0088,0
user_group,0.7,0.9214807092452184,0.535,0.167,0.5,0.547,0.1169,0.4929921794461918,0.8,0.85,0.7766,0.9382,1
user_group,0.0,0.6673061027491345,0.901,0.533,0.5,0.372,0.0,0.6012427985769702,0.6,0.5,0.1319,0.0066,0
user_user,0.7,0.9423433074343904,0.694,0.566,0.35,0.655,0.3961999999999999,0.6539862553594669,0.0,0.0,0.8053,0.9554,1
user_user,0.3,0.0,0.835,0.77,0.27,0.342,0.2309999999999999,0.0,0.0,0.0,0.0961,0.0043,0
user_group,0.0,0.1020470093220407,0.371,0.505,0.5,0.278,0.0,0.0378594404584771,0.8,0.75,0.069,0.0031,0
user_user,0.0,0.5591511493199757,0.384,0.46,0.268,0.748,0.0,0.2147140413388706,0.0,0.0,0.0822,0.0036,1
user_group,1.0,0.9105655500879292,0.247,0.325,0.5,0.662,0.325,0.2249096908717185,1.0,0.85,0.8698,0.9789,1
user_user,0.7,0.0,0.48,0.566,0.581,0.657,0.3961999999999999,0.0,0.0,0.0,0.126,0.0061,0
user_group,0.3,0.9686312604204492,0.89,0.817,0.5,0.659,0.2450999999999999,0.8620818217741998,1.0,0.85,0.8376,0.9693,1
user_group,0.7,0.2190109289851081,0.576,0.709,0.5,0.5,0.4962999999999999,0.1261502950954222,1.0,0.6,0.676,0.8194,1
user_group,0.3,0.6454227118909912,0.891,0.291,0.5,0.445,0.0872999999999999,0.5750716362948731,1.0,0.6,0.6319,0.7277,0
user_user,1.0,0.0,0.678,0.647,0.448,0.697,0.647,0.0,0.0,0.0,0.1662,0.0099,0
user_group,0.0,0.0,0.775,0.739,0.5,0.975,0.0,0.0,1.0,0.6,0.0934,0.0042,0
user_user,0.3,0.2746863621792721,0.249,0.132,0.198,0.581,0.0396,0.0683969041826387,0.0,0.0,0.2812,0.0382,0
user_user,1.0,0.1467629506681886,0.25,0.472,0.387,0.632,0.472,0.0366907376670471,0.0,0.0,0.5935,0.6276,1
user_group,0.3,0.1602915068691004,0.654,0.323,0.5,0.592,0.0969,0.1048306454923916,0.6,0.5,0.4246,0.1817,0
user_user,0.7,0.1294536173233172,0.637,0.588,0.624,0.382,0.4115999999999999,0.082461954234953,0.0,0.0,0.5603,0.5309,1
user_group,0.3,0.9745420958768656,0.945,0.17,0.5,0.566,0.051,0.920942280603638,0.4,0.5,0.7029,0.8623,1
user_group,1.0,0.3471720647671512,0.445,0.233,0.5,0.629,0.233,0.1544915688213823,1.0,0.75,0.7261,0.8922,1
user_group,1.0,0.1247253729208907,0.401,0.802,0.5,0.33,0.802,0.0500148745412772,1.0,0.75,0.7658,0.9302,1
user_user,0.3,0.2758202913735255,0.862,0.086,0.284,0.934,0.0257999999999999,0.2377570911639789,0.0,0.0,0.4046,0.1487,0
user_group,0.0,0.0,0.466,0.709,0.5,0.87,0.0,0.0,0.8,0.7,0.0784,0.0035,0
user_user,1.0,0.0,0.509,0.569,0.218,0.939,0.569,0.0,0.0,0.0,0.154,0.0086,0
user_user,1.0,0.0,0.855,0.288,0.749,0.708,0.288,0.0,0.0,0.0,0.1592,0.0091,0
user_user,0.0,0.0,0.597,0.227,0.234,0.12,0.0,0.0,0.0,0.0,0.0354,0.0021,0
user_group,0.7,0.4477731755804459,0.241,0.588,0.5,0.583,0.4115999999999999,0.1079133353148874,1.0,0.85,0.6751,0.8178,1
user_user,1.0,0.4640598908175588,0.413,0.677,0.736,0.912,0.677,0.1916567349076517,0.0,0.0,0.7967,0.9508,1
user_group,1.0,0.0,0.436,0.495,0.5,0.729,0.495,0.0,0.6,1.0,0.1702,0.0104,0
user_group,1.0,0.254583468052668,0.795,0.511,0.5,0.498,0.511,0.2023938571018711,1.0,0.75,0.8139,0.9596,1
user_group,1.0,0.3486252892971075,0.382,0.587,0.5,0.711,0.587,0.1331748605114951,1.0,0.6,0.7898,0.9467,1
user_user,1.0,0.9894057312677592,0.375,0.876,0.642,0.497,0.876,0.3710271492254097,0.0,0.0,0.9522,0.992,1
user_user,0.0,0.5350780511081876,0.532,0.63,0.463,0.645,0.0,0.2846615231895558,0.0,0.0,0.0953,0.0043,0
user_user,1.0,0.947204282873902,0.554,0.48,0.699,0.812,0.48,0.5247511727121417,0.0,0.0,0.914,0.9875,1
user_group,0.0,0.8225514739463841,0.265,0.537,0.5,0.628,0.0,0.2179761405957918,0.4,0.75,0.114,0.0053,0
user_user,0.0,0.6170693521016271,0.511,0.357,0.792,0.403,0.0,0.3153224389239314,0.0,0.0,0.0956,0.0043,0
user_user,0.7,0.6273158718147509,0.671,0.866,0.38,0.452,0.6062,0.4209289499876978,0.0,0.0,0.7537,0.9202,1
user_user,0.7,0.0,0.472,0.477,0.269,0.858,0.3339,0.0,0.0,0.0,0.1177,0.0056,0
user_group,0.0,0.4361520787628937,0.854,0.951,0.5,0.669,0.0,0.3724738752635113,0.8,1.0,0.1361,0.0069,0
user_group,0.3,0.4184537835053265,0.837,0.175,0.5,0.608,0.0525,0.3502458167939583,0.6,0.6,0.5198,0.4104,0
user_user,0.3,0.0,0.34,0.525,0.394,0.527,0.1575,0.0,0.0,0.0,0.0732,0.0033,0
user_group,1.0,0.1574978086114403,0.661,0.271,0.5,0.704,0.271,0.104106051492162,0.8,0.75,0.7092,0.8711,0
user_group,1.0,0.0,0.613,0.538,0.5,0.81,0.538,0.0,0.6,0.7,0.1765,0.0112,0
user_group,0.7,0.0,0.387,0.097,0.5,0.77,0.0679,0.0,0.6,1.0,0.12,0.0057,0
